연도,유형,연령층,인원수
2022,건강은퇴형,노년층,717
2022,건강은퇴형,장년층,134
2022,건강은퇴형,청년층,107
2022,미스매치형,노년층,159
2022,미스매치형,장년층,88
2022,미스매치형,청년층,142
2022,외부충격형,노년층,53
2022,외부충격형,장년층,14
2022,외부충격형,청년층,20
2022,전환준비형,노년층,23
2022,전환준비형,장년층,30
2022,전환준비형,청년층,113
2023,건강은퇴형,노년층,717
2023,건강은퇴형,장년층,131
2023,건강은퇴형,청년층,99
2023,미스매치형,노년층,172
2023,미스매치형,장년층,91
2023,미스매치형,청년층,160
2023,외부충격형,노년층,50
2023,외부충격형,장년층,20
2023,외부충격형,청년층,13
2023,전환준비형,노년층,30
2023,전환준비형,장년층,26
2023,전환준비형,청년층,129
2024,건강은퇴형,노년층,814
2024,건강은퇴형,장년층,118
2024,건강은퇴형,청년층,93
2024,미스매치형,노년층,195
2024,미스매치형,장년층,101
2024,미스매치형,청년층,187
2024,외부충격형,노년층,79
2024,외부충격형,장년층,18
2024,외부충격형,청년층,28
2024,전환준비형,노년층,24
2024,전환준비형,장년층,42
2024,전환준비형,청년층,153
2025,건강은퇴형,노년층,848
2025,건강은퇴형,장년층,119
2025,건강은퇴형,청년층,73
2025,미스매치형,노년층,240
2025,미스매치형,장년층,105
2025,미스매치형,청년층,196
2025,외부충격형,노년층,65
2025,외부충격형,장년층,8
2025,외부충격형,청년층,17
2025,전환준비형,노년층,15
2025,전환준비형,장년층,38
2025,전환준비형,청년층,159
